Dataset,FeatureSet,FeatureCount,Seed,Model,TrainingSeconds,InferenceSeconds,Accuracy,Precision,Recall,F1,F2,FPR,FNR,AUC,TN,FP,FN,TP
CICIDS,All features,77,42,Logistic Regression,3.7730321650001315,0.006816638000145758,0.9426538908246226,0.7736318407960199,0.9756862745098039,0.8629899410336455,0.9272510435301133,0.06484945661856405,0.02431372549019608,0.9927308803442988,10498,728,62,2488
CICIDS,All features,77,42,Random Forest,22.15828282800021,0.1398575510002047,0.9977497096399536,0.9952811639795517,0.9925490196078431,0.99391321421559,0.9930942478223338,0.0010689470871191875,0.007450980392156863,0.9999597398196762,11214,12,19,2531
CICIDS,All features,77,42,FFNN,18.47802698700025,0.03621384899997793,0.992232868757259,0.9784567175871524,0.9796078431372549,0.979031941994905,0.97937740139575,0.004899340815962943,0.0203921568627451,0.9988691517939796,11171,55,52,2498
CICIDS,All features,77,42,CNN,35.372603834000074,0.6849299370001063,0.9863530778164924,0.9872112211221122,0.9384313725490196,0.9622034579815039,0.947797845373891,0.002761446641724568,0.06156862745098039,0.997229313603225,11195,31,157,2393
CICIDS,All features,77,42,LSTM,27.782487247000063,0.32282442199993966,0.9740853658536586,0.9352917824533545,0.923921568627451,0.9295719076740975,0.9261734413082789,0.014519864600035631,0.07607843137254902,0.9920612164338388,11063,163,194,2356
CICIDS,All features,77,43,Logistic Regression,5.228182217000267,0.02296297400016556,0.9426538908246226,0.7736318407960199,0.9756862745098039,0.8629899410336455,0.9272510435301133,0.06484945661856405,0.02431372549019608,0.9927308803442988,10498,728,62,2488
CICIDS,All features,77,43,Random Forest,22.727362872999947,0.14223580900033994,0.997822299651568,0.9960629921259843,0.9921568627450981,0.9941060903732809,0.9929356357927787,0.0008907892392659896,0.00784313725490196,0.9999643160310624,11216,10,20,2530
CICIDS,All features,77,43,FFNN,59.93276335799965,0.02198256500014395,0.994410569105691,0.9843321582452017,0.9854901960784314,0.9849108367626886,0.9852583705794715,0.0035631569570639585,0.014509803921568627,0.9994639195425187,11186,40,37,2513
CICIDS,All features,77,43,CNN,29.321238169000026,0.5955981279998923,0.982650987224158,0.9902418328383539,0.9152941176470588,0.9512940696963521,0.9293621087839452,0.0020488152503117764,0.08470588235294117,0.996967299301691,11203,23,216,2334
CICIDS,All features,77,43,LSTM,26.48884301199996,0.337264683000285,0.974157955865273,0.9484873262469338,0.9098039215686274,0.9287429943955164,0.9172860983710264,0.01122394441475147,0.09019607843137255,0.9939387905527434,11100,126,230,2320
CICIDS,All features,77,44,Logistic Regression,4.260692260000269,0.021861653000087244,0.9426538908246226,0.7736318407960199,0.9756862745098039,0.8629899410336455,0.9272510435301133,0.06484945661856405,0.02431372549019608,0.9927308803442988,10498,728,62,2488
CICIDS,All features,77,44,Random Forest,23.245366044999628,0.15462195700001757,0.9976771196283392,0.995279307631786,0.9921568627450981,0.9937156323644933,0.9927797833935018,0.0010689470871191875,0.00784313725490196,0.9999592158260062,11214,12,20,2530
CICIDS,All features,77,44,FFNN,42.24278185000003,0.015404877000037231,0.9939024390243902,0.9869668246445498,0.98,0.9834710743801653,0.9813854853911405,0.002939604489577766,0.02,0.9990098615608726,11193,33,51,2499
CICIDS,All features,77,44,CNN,24.798053455000172,0.5998771989998204,0.9825783972125436,0.9906542056074766,0.9145098039215687,0.9510603588907015,0.9287876374064044,0.0019597363263851772,0.08549019607843138,0.9966916436982775,11204,22,218,2332
CICIDS,All features,77,44,LSTM,25.633472468000036,0.34021932200039373,0.9735772357723578,0.9810739436619719,0.8741176470588236,0.9245126503525508,0.893601667735728,0.0038303937288437554,0.12588235294117647,0.9900384960683009,11183,43,321,2229
CICIDS,All features,77,45,Logistic Regression,3.2036880810001094,0.004825764000088384,0.9426538908246226,0.7736318407960199,0.9756862745098039,0.8629899410336455,0.9272510435301133,0.06484945661856405,0.02431372549019608,0.9927308803442988,10498,728,62,2488
CICIDS,All features,77,45,Random Forest,23.67729916999997,0.2500157669996952,0.997822299651568,0.9956726986624705,0.9925490196078431,0.9941084053417125,0.9931721864699419,0.0009798681631925886,0.007450980392156863,0.9999630933791653,11215,11,19,2531
CICIDS,All features,77,45,FFNN,29.6520674960002,0.037071338999794534,0.9925232288037166,0.9907741676694746,0.9686274509803922,0.9795756494150307,0.9729772315449461,0.0020488152503117764,0.03137254901960784,0.999246706699783,11203,23,80,2470
CICIDS,All features,77,45,CNN,24.437412014000074,0.6871885840000687,0.9806910569105691,0.9627228525121556,0.9317647058823529,0.9469908330011957,0.937796021471424,0.008195261001247105,0.06823529411764706,0.9965751075060348,11134,92,174,2376
CICIDS,All features,77,45,LSTM,10.230636267999671,0.32393053199984934,0.9326364692218351,0.8999013806706114,0.7156862745098039,0.7972913936216689,0.7462381419692509,0.01808302155709959,0.28431372549019607,0.9760697156111688,11023,203,725,1825
CICIDS,All features,77,46,Logistic Regression,4.496514638999997,0.016983108000204084,0.9426538908246226,0.7736318407960199,0.9756862745098039,0.8629899410336455,0.9272510435301133,0.06484945661856405,0.02431372549019608,0.9927308803442988,10498,728,62,2488
CICIDS,All features,77,46,Random Forest,23.632923755999855,0.14568317100020067,0.9977497096399536,0.9952811639795517,0.9925490196078431,0.99391321421559,0.9930942478223338,0.0010689470871191875,0.007450980392156863,0.9999638968361263,11214,12,19,2531
CICIDS,All features,77,46,FFNN,26.980156799999804,0.01902945700021519,0.9928135888501742,0.9819111285882816,0.9792156862745098,0.980561555075594,0.9797535902063879,0.004097630500623553,0.020784313725490194,0.999038576413997,11180,46,53,2497
CICIDS,All features,77,46,CNN,25.743647680999857,0.6103469569998197,0.9833042973286876,0.9906937394247038,0.9184313725490196,0.9531949531949532,0.9320280165552371,0.0019597363263851772,0.0815686274509804,0.9970757485249578,11204,22,208,2342
CICIDS,All features,77,46,LSTM,19.4802432649999,0.329415472999699,0.9682055749128919,0.9463229078613694,0.8780392156862745,0.9109031733116355,0.8908960687569633,0.011313023338678068,0.12196078431372549,0.9875144534920686,11099,127,311,2239
CICIDS,SHAP refined,15,42,Logistic Regression,0.7724156799999946,0.0014480249997177452,0.9111498257839721,0.6864454443194601,0.9572549019607843,0.7995414346544383,0.8872492003489386,0.09932300017815784,0.04274509803921569,0.987092725919871,10111,1115,109,2441
CICIDS,SHAP refined,15,42,Random Forest,11.18796082300014,0.14329307800016977,0.9933943089430894,0.981590285938112,0.9827450980392157,0.9821673525377229,0.9825139182937348,0.004186709424550151,0.017254901960784313,0.9984341147825601,11179,47,44,2506
CICIDS,SHAP refined,15,42,FFNN,47.77362540600052,0.08336604699979944,0.9796747967479674,0.964022894521668,0.9247058823529412,0.9439551641313051,0.9323106120512415,0.007838945305540709,0.07529411764705882,0.9967182975096328,11138,88,192,2358
CICIDS,SHAP refined,15,42,CNN,18.381600765000258,1.3356552149998606,0.979239256678281,0.9605370219690805,0.9258823529411765,0.9428913738019169,0.9326117870121662,0.0086406556208801,0.07411764705882352,0.9964230969423223,11129,97,189,2361
CICIDS,SHAP refined,15,42,LSTM,21.8162902009999,0.30062069999985397,0.9475174216027874,0.9961977186311787,0.7192156862745098,0.8353450239125484,0.7615646540984968,0.0006235524674861928,0.2807843137254902,0.988883876016111,11219,7,716,1834
CICIDS,SHAP refined,15,43,Logistic Regression,0.8987710370001878,0.0015380040003947215,0.9111498257839721,0.6864454443194601,0.9572549019607843,0.7995414346544383,0.8872492003489386,0.09932300017815784,0.04274509803921569,0.987092725919871,10111,1115,109,2441
CICIDS,SHAP refined,15,43,Random Forest,11.159759187999953,0.1390528660003838,0.9933943089430894,0.981590285938112,0.9827450980392157,0.9821673525377229,0.9825139182937348,0.004186709424550151,0.017254901960784313,0.9984776062571831,11179,47,44,2506
CICIDS,SHAP refined,15,43,FFNN,46.369494149000275,0.07387326000025496,0.9793844367015099,0.959448499594485,0.927843137254902,0.9433811802232854,0.9339965261329544,0.008907892392659897,0.07215686274509804,0.99657355299148,11126,100,184,2366
CICIDS,SHAP refined,15,43,CNN,18.2579306990001,1.3371640559998923,0.9790940766550522,0.9605048859934854,0.9250980392156862,0.9424690371554135,0.9319690265486725,0.0086406556208801,0.07490196078431373,0.9962617068919141,11129,97,191,2359
CICIDS,SHAP refined,15,43,LSTM,20.46118435900007,0.2991243870001199,0.9617450638792102,0.9773478055686645,0.812156862745098,0.887127864639109,0.8405714749573829,0.00427578834847675,0.18784313725490195,0.9882023523822498,11178,48,479,2071
CICIDS,SHAP refined,15,44,Logistic Regression,0.7920305819998248,0.004738642000120308,0.9111498257839721,0.6864454443194601,0.9572549019607843,0.7995414346544383,0.8872492003489386,0.09932300017815784,0.04274509803921569,0.987092725919871,10111,1115,109,2441
CICIDS,SHAP refined,15,44,Random Forest,11.22681037700022,0.14226870400034386,0.9934668989547039,0.9815974941268598,0.9831372549019608,0.9823667711598746,0.9828289164183786,0.004186709424550151,0.016862745098039214,0.998440507505336,11179,47,43,2507
CICIDS,SHAP refined,15,44,FFNN,44.184875197999645,0.0543411720000222,0.9798199767711963,0.9632952691680261,0.9262745098039216,0.944422231107557,0.9334492570344609,0.008017103153393906,0.07372549019607844,0.9966038048927036,11136,90,188,2362
CICIDS,SHAP refined,15,44,CNN,15.09709559500061,0.6217727249995733,0.9766260162601627,0.985191637630662,0.8870588235294118,0.9335534461411473,0.9050896286811779,0.0030286834135043648,0.11294117647058824,0.9959651264746056,11192,34,288,2262
CICIDS,SHAP refined,15,44,LSTM,22.72711396500017,0.32133842300027027,0.9486788617886179,0.9919914575547251,0.7286274509803922,0.8401537418042053,0.7694856290897043,0.0013361838588989846,0.27137254901960783,0.9785960986924611,11211,15,692,1858
CICIDS,SHAP refined,15,45,Logistic Regression,0.9399091519999274,0.0015216600004350767,0.9111498257839721,0.6864454443194601,0.9572549019607843,0.7995414346544383,0.8872492003489386,0.09932300017815784,0.04274509803921569,0.987092725919871,10111,1115,109,2441
CICIDS,SHAP refined,15,45,Random Forest,10.949409482999727,0.1337395660002585,0.993321718931475,0.9815830721003135,0.9823529411764705,0.981967855742846,0.9821988707653702,0.004186709424550151,0.01764705882352941,0.9980735547381253,11179,47,45,2505
CICIDS,SHAP refined,15,45,FFNN,38.32749753000007,0.012940386000082071,0.9809088269454123,0.9650264335095567,0.9305882352941176,0.9474945098822121,0.9372778260526108,0.007660787457687511,0.06941176470588235,0.9969306721441472,11140,86,177,2373
CICIDS,SHAP refined,15,45,CNN,18.140658649000216,0.9997311059996719,0.9779326364692218,0.9606234618539786,0.9184313725490196,0.9390537289494787,0.9265706599145435,0.0085515766969535,0.0815686274509804,0.9951096369422525,11130,96,208,2342
CICIDS,SHAP refined,15,45,LSTM,20.67515085299965,0.3056793079995259,0.9525987224157956,0.9721254355400697,0.7658823529411765,0.8567668348322001,0.7998198050618396,0.004988419739889542,0.23411764705882354,0.9862258133255084,11170,56,597,1953
CICIDS,SHAP refined,15,46,Logistic Regression,0.8640262270000676,0.001487112999711826,0.9111498257839721,0.6864454443194601,0.9572549019607843,0.7995414346544383,0.8872492003489386,0.09932300017815784,0.04274509803921569,0.987092725919871,10111,1115,109,2441
CICIDS,SHAP refined,15,46,Random Forest,10.866656480999154,0.13924205700004677,0.9934668989547039,0.981974921630094,0.9827450980392157,0.982359858878871,0.9825909661229612,0.004097630500623553,0.017254901960784313,0.9984527689572177,11180,46,44,2506
CICIDS,SHAP refined,15,46,FFNN,49.56883576099972,0.046596060000410944,0.9809088269454123,0.9635184434535874,0.932156862745098,0.9475782340043851,0.9382647825057235,0.008017103153393906,0.06784313725490196,0.9969021144891237,11136,90,173,2377
CICIDS,SHAP refined,15,46,CNN,18.453685031999157,0.6003886049993525,0.9786585365853658,0.9626743232157506,0.9203921568627451,0.9410585404971933,0.9285488210159836,0.008106182077320506,0.0796078431372549,0.9961406468876524,11135,91,203,2347
CICIDS,SHAP refined,15,46,LSTM,20.341547884999272,0.31532829699972353,0.9581155632984901,0.9791160757649344,0.7905882352941176,0.8748101540464309,0.8222530385838975,0.0038303937288437554,0.20941176470588235,0.9892988964693308,11183,43,534,2016
