Dataset,FeatureSet,FeatureCount,Seed,Model,TrainingSeconds,InferenceSeconds,Accuracy,Precision,Recall,F1,F2,FPR,FNR,AUC,TN,FP,FN,TP
UNSW,All features,31,42,Logistic Regression,2.0332481059999736,0.00801833299988175,0.766319177219618,0.6538941163133432,0.9526011560693641,0.7754772788383975,0.8728549378045458,0.3705996601116776,0.047398843930635835,0.8689811710209219,5185,3053,287,5768
UNSW,All features,31,42,Random Forest,37.1444216320001,0.5213119310001275,0.9014202756594137,0.8844753392916253,0.8825763831544179,0.8835248408696371,0.8829555217764854,0.08472930322893907,0.11742361684558217,0.9725701262743055,7540,698,711,5344
UNSW,All features,31,42,FFNN,47.560374254999715,0.02130561800004216,0.8780521933813755,0.850227420402859,0.8644095788604459,0.8572598476783229,0.8615354227021332,0.11192036902160718,0.13559042113955408,0.9610662076550454,7316,922,821,5234
UNSW,All features,31,42,CNN,21.799317395000344,1.0597169070001655,0.8536346463303716,0.7781833497121999,0.9154417836498762,0.8412505691303688,0.8842484765338353,0.1917941247875698,0.08455821635012387,0.9458184754984302,6658,1580,512,5543
UNSW,All features,31,42,LSTM,25.293698803000098,0.44224091100022633,0.8339746729168124,0.7292081673306773,0.9672997522708505,0.8315468162135302,0.9080057050725536,0.2640203932993445,0.032700247729149465,0.9190779912788594,6063,2175,198,5857
UNSW,All features,31,43,Logistic Regression,3.2908744090000255,0.011758936000205722,0.766319177219618,0.6538941163133432,0.9526011560693641,0.7754772788383975,0.8728549378045458,0.3705996601116776,0.047398843930635835,0.8689811710209219,5185,3053,287,5768
UNSW,All features,31,43,Random Forest,35.83198943499974,0.28888678599969353,0.9016301686140069,0.8851698425849213,0.8822460776218002,0.8837055417700579,0.882829284415799,0.08412235979606701,0.11775392237819983,0.9723179866358173,7545,693,713,5342
UNSW,All features,31,43,FFNN,45.3967278680002,0.029723064999870985,0.8779822290631778,0.8435059760956175,0.8741535920726672,0.8585563665855637,0.8678471880636169,0.11920369021607186,0.1258464079273328,0.9606605228554548,7256,982,762,5293
UNSW,All features,31,43,CNN,19.829679234000196,0.8867956229996707,0.8461484642832156,0.7481977342945417,0.9598678777869529,0.840917311726832,0.9084656746279854,0.23743627093954844,0.040132122213047065,0.9457899576773482,6282,1956,243,5812
UNSW,All features,31,43,LSTM,20.351853082999696,0.30880994100016324,0.8322955292800671,0.7316949581960983,0.9539223781998348,0.8281597247114488,0.8992962570841377,0.25710123816460306,0.046077621800165156,0.9158968759503852,6120,2118,279,5776
UNSW,All features,31,44,Logistic Regression,1.9137825890002205,0.006486155999937182,0.766319177219618,0.6538941163133432,0.9526011560693641,0.7754772788383975,0.8728549378045458,0.3705996601116776,0.047398843930635835,0.8689811710209219,5185,3053,287,5768
UNSW,All features,31,44,Random Forest,37.689573970999845,0.2854643659998146,0.899601203386273,0.8834661354581673,0.8789430222956235,0.8811987747330077,0.8798439359873033,0.0852148579752367,0.12105697770437655,0.9723348968516927,7536,702,733,5322
UNSW,All features,31,44,FFNN,32.300619905000076,0.013456943000164756,0.8747638704260827,0.8532383634255425,0.8507018992568125,0.8519682434667549,0.8512079849291073,0.10755037630492838,0.14929810074318745,0.9589135281526525,7352,886,904,5151
UNSW,All features,31,44,CNN,19.325708214000315,0.8436195879999104,0.856013433149094,0.7819156439554239,0.9154417836498762,0.8434266585514303,0.8852087259254527,0.18766690944403983,0.08455821635012387,0.9452960931687739,6692,1546,512,5543
UNSW,All features,31,44,LSTM,23.8150470139999,0.3045456049999302,0.8375428531448961,0.737015873015873,0.9585466556564822,0.8333094041636755,0.9041906839071506,0.25139596989560575,0.04145334434351775,0.9216555111365852,6167,2071,251,5804
UNSW,All features,31,45,Logistic Regression,1.9769156859997565,0.014458387000104267,0.766319177219618,0.6538941163133432,0.9526011560693641,0.7754772788383975,0.8728549378045458,0.3705996601116776,0.047398843930635835,0.8689811710209219,5185,3053,287,5768
UNSW,All features,31,45,Random Forest,38.554618742,0.3045687869998801,0.8987616315679003,0.8824701195219123,0.8779521056977705,0.8802053150095207,0.8788520037032138,0.08594319009468318,0.12204789430222956,0.972364777914837,7530,708,739,5316
UNSW,All features,31,45,FFNN,30.09568713999988,0.011908217999916815,0.8744840131532918,0.8593354697250801,0.8414533443435177,0.8503004005340454,0.8449699824206441,0.101238164603059,0.15854665565648224,0.9589109520261085,7404,834,960,5095
UNSW,All features,31,45,CNN,19.155445584000063,0.7677265350002926,0.8494367872385084,0.7908779251751379,0.8763005780346821,0.8314008147916013,0.8577710239580976,0.170308327263899,0.12369942196531791,0.9439577904171701,6835,1403,749,5306
UNSW,All features,31,45,LSTM,24.151900898999884,0.31525789299985263,0.8332750297348352,0.7326406487582362,0.9549132947976878,0.8291388829138883,0.9002864972595914,0.2561301286720078,0.04508670520231214,0.9173253130595181,6128,2110,273,5782
UNSW,All features,31,46,Logistic Regression,2.2979816930001107,0.011684057999900688,0.766319177219618,0.6538941163133432,0.9526011560693641,0.7754772788383975,0.8728549378045458,0.3705996601116776,0.047398843930635835,0.8689811710209219,5185,3053,287,5768
UNSW,All features,31,46,Random Forest,37.35599154300007,0.28802852199987683,0.9007206324774365,0.8847941567065073,0.8802642444260942,0.882523387697657,0.8811665123660891,0.08424374848264142,0.11973575557390587,0.9725169297623608,7544,694,725,5330
UNSW,All features,31,46,FFNN,48.807261656000264,0.060218019999865646,0.8791016581543413,0.8536864476050351,0.8624277456647399,0.85803483404535,0.8606651943171705,0.10864287448409808,0.1375722543352601,0.9605552625253378,7343,895,833,5222
UNSW,All features,31,46,CNN,20.62363283700006,0.6493866619998698,0.8541943608759532,0.7784321974477633,0.9167630057803469,0.8419535871378735,0.8852987145545597,0.1917941247875698,0.08323699421965318,0.9458763030238514,6658,1580,504,5551
UNSW,All features,31,46,LSTM,34.755174942000394,0.306207742999959,0.8362135310991394,0.734469696969697,0.9606936416184971,0.8324865831842576,0.9049471064094586,0.2552804078659869,0.03930635838150289,0.920375687459917,6135,2103,238,5817
UNSW,SHAP refined,15,42,Logistic Regression,0.5088330829998995,0.0016097080001600261,0.7544952074442035,0.6404147363776749,0.9588769611890999,0.7679386283975927,0.8721384365799435,0.3957271182325807,0.041123038810900084,0.8060467604055966,4978,3260,249,5806
UNSW,SHAP refined,15,42,Random Forest,22.49431068800004,0.28674410799976613,0.8964528090673757,0.8775375474500743,0.8781172584640793,0.8778273072478124,0.8780012549952112,0.09007040543821315,0.12188274153592073,0.9699937391103522,7496,742,738,5317
UNSW,SHAP refined,15,42,FFNN,46.73106200099983,0.060813967999820306,0.8686769747428811,0.8354206807964033,0.859289843104872,0.8471871692583245,0.854407514450867,0.12442340373877155,0.140710156895128,0.9565039677360698,7213,1025,852,5203
UNSW,SHAP refined,15,42,CNN,17.899139124000158,0.6768019529999947,0.8546141467851396,0.7860739461947921,0.9023947151114781,0.8402275872674151,0.8764556799589361,0.18050497693614956,0.09760528488852188,0.9468061243248694,6751,1487,591,5464
UNSW,SHAP refined,15,42,LSTM,22.374202635000074,0.35449402099993677,0.8347442804169873,0.7338229707483854,0.9570602807597027,0.8307052752293578,0.9021701902419279,0.25515901917941247,0.042939719240297276,0.925705392564597,6136,2102,260,5795
UNSW,SHAP refined,15,43,Logistic Regression,0.5525288000003457,0.004579726999963896,0.7544952074442035,0.6404147363776749,0.9588769611890999,0.7679386283975927,0.8721384365799435,0.3957271182325807,0.041123038810900084,0.8060467604055966,4978,3260,249,5806
UNSW,SHAP refined,15,43,Random Forest,21.898913675999665,0.5063218000000234,0.8972224165675505,0.8775107013500164,0.8802642444260942,0.8788853161843515,0.8797121542219581,0.09031318281136198,0.11973575557390587,0.9700259857994282,7494,744,725,5330
UNSW,SHAP refined,15,43,FFNN,60.85148969800002,0.09909524900012912,0.8703561183796263,0.8416260162601626,0.8548307184145334,0.8481769766489143,0.8521567336187027,0.11823258072347657,0.14516928158546655,0.9583166486538285,7264,974,879,5176
UNSW,SHAP refined,15,43,CNN,18.0370786819999,0.6220588589999352,0.8511858951934513,0.7622863247863247,0.942691990090834,0.8429446946762165,0.9000883057903368,0.21607186210245205,0.05730800990916598,0.9477252602138405,6458,1780,347,5708
UNSW,SHAP refined,15,43,LSTM,16.56706624799972,0.3256851670003016,0.8339746729168124,0.7326257265605256,0.9575557390586292,0.8301238456582433,0.9021597062301612,0.25685846079145425,0.04244426094137077,0.9221281551786458,6122,2116,257,5798
UNSW,SHAP refined,15,44,Logistic Regression,0.49828130400010195,0.003740748999916832,0.7544952074442035,0.6404147363776749,0.9588769611890999,0.7679386283975927,0.8721384365799435,0.3957271182325807,0.041123038810900084,0.8060467604055966,4978,3260,249,5806
UNSW,SHAP refined,15,44,Random Forest,22.831545718999678,0.2950970930000949,0.8982019170223187,0.8794127350709336,0.880429397192403,0.8799207724684328,0.8802258767584704,0.08873512988589463,0.11957060280759703,0.9702232048257166,7507,731,724,5331
UNSW,SHAP refined,15,44,FFNN,49.422796842000025,0.074923144999957,0.8627999720142727,0.8248175182481752,0.8584640792733278,0.8413045237517197,0.8515169386016643,0.13401310997815002,0.14153592072667218,0.9546635207851312,7134,1104,857,5198
UNSW,SHAP refined,15,44,CNN,18.182974738999746,0.6519981680003184,0.8550339326943259,0.8011492514743687,0.8749793559042114,0.8364382696558257,0.8591444231829534,0.15962612284535083,0.1250206440957886,0.9471046643126684,6923,1315,757,5298
UNSW,SHAP refined,15,44,LSTM,23.136725026000022,0.3290223210001386,0.8296368851885538,0.7230162641695417,0.9691164327002477,0.8281702067602851,0.9073478476001979,0.2728817674192765,0.030883567299752272,0.9210224556039173,5990,2248,187,5868
UNSW,SHAP refined,15,45,Logistic Regression,0.4568957860001319,0.0016336690000571252,0.7544952074442035,0.6404147363776749,0.9588769611890999,0.7679386283975927,0.8721384365799435,0.3957271182325807,0.041123038810900084,0.8060467604055966,4978,3260,249,5806
UNSW,SHAP refined,15,45,Random Forest,23.378471659999832,0.33348280499967586,0.8968725949765619,0.8771612053350898,0.8797687861271676,0.8784630606860159,0.8792460304360743,0.0905559601845108,0.12023121387283237,0.9700399389828892,7492,746,728,5327
UNSW,SHAP refined,15,45,FFNN,33.4126703740003,0.018689506000100664,0.8643391870146225,0.8272900763358778,0.8591246903385632,0.8429069107996435,0.8525632620951882,0.13182811361981064,0.14087530966143683,0.9553334339726739,7152,1086,853,5202
UNSW,SHAP refined,15,45,CNN,17.406981564000034,0.617644073000065,0.8541243965577555,0.7708788209606987,0.9329479768786128,0.8442053351266532,0.8953023963484215,0.20381160475843652,0.06705202312138728,0.9484324420336443,6559,1679,406,5649
