Feature,MeanAbsoluteSHAP
dload,0.05317371869251617
rate,0.04714651347595831
tcprtt,0.032180472982189845
dwin,0.03186697902565575
ackdat,0.02925026359019198
synack,0.020062522005008365
dmean,0.01765622630579511
smean,0.015769313010181512
ct_src_dport_ltm,0.014749001565685574
swin,0.01368293901143506
sload,0.012980458366136864
trans_depth,0.007681702053817991
dpkts,0.007245256462683377
dbytes,0.006743939765701182
sloss,0.005326214792524738
ct_flw_http_mthd,0.005165237752918965
sinpkt,0.0051129978636728695
dloss,0.005045681147862811
sjit,0.00491984513052261
dur,0.004757246786718106
spkts,0.004433832503090065
dtcpb,0.004166806448677231
dinpkt,0.003864953918142096
stcpb,0.0038429119158719287
ct_dst_sport_ltm,0.003399265407532088
sbytes,0.003342111216630037
djit,0.0009343474441862692
is_sm_ips_ports,0.0008773266224565782
response_body_len,0.0005191882587584308
is_ftp_login,0.00022983802952167737
ct_ftp_cmd,0.00022635974364982242
