Feature,MeanAbsoluteSHAP
Bwd Packet Length Mean,0.04684934773348091
Packet Length Std,0.031170633470902907
Avg Bwd Segment Size,0.028706039415976565
Bwd Packet Length Max,0.027755141720595268
ACK Flag Count,0.02546219698960099
Packet Length Mean,0.02354192475377279
Bwd Packet Length Std,0.021184308561953417
Average Packet Size,0.01946947262990756
URG Flag Count,0.0179494338968819
Idle Mean,0.017489725290577563
Bwd Packet Length Min,0.01641982881522162
Max Packet Length,0.015016469434961988
Fwd IAT Std,0.014864565089700995
PSH Flag Count,0.01152198611085124
Packet Length Variance,0.01049891890651371
FIN Flag Count,0.009517500005269386
Flow IAT Max,0.009134570000764208
Idle Min,0.00899711794331518
Idle Max,0.008810350336355232
Min Packet Length,0.008787456872518473
Fwd IAT Total,0.007893675360216216
Down/Up Ratio,0.007602451544063952
Fwd IAT Max,0.007595448773768289
Init_Win_bytes_forward,0.00730074045381104
Init_Win_bytes_backward,0.007152825461240379
Subflow Bwd Bytes,0.006480653859772158
Fwd Packet Length Min,0.006014326485895784
Fwd Packet Length Mean,0.005587087464659866
Total Length of Bwd Packets,0.005576224744293724
Subflow Bwd Packets,0.005256500352652122
Flow IAT Mean,0.004788705856890231
Fwd PSH Flags,0.004649746573534634
Flow IAT Std,0.004603499859742544
Flow Duration,0.0045730530265396425
Bwd Packets/s,0.004536165030149835
Avg Fwd Segment Size,0.004194223687504679
Bwd Header Length,0.0039552647456875005
Flow Packets/s,0.0038325809992499735
Total Backward Packets,0.0036673240154064856
SYN Flag Count,0.0036257598805723877
min_seg_size_forward,0.0036223324458016853
Fwd IAT Mean,0.0035549939587453884
Fwd Packet Length Max,0.0033995294897495028
Total Fwd Packets,0.0033853083972918605
Bwd IAT Total,0.0033718223079510904
act_data_pkt_fwd,0.0032902101578193704
Flow Bytes/s,0.0032328416728686017
Fwd Header Length,0.0030783694219222377
Fwd Packet Length Std,0.0028971697087226394
Fwd Header Length.1,0.0021849121975768605
Subflow Fwd Packets,0.0017145944284644302
Fwd Packets/s,0.0016676780796620646
Subflow Fwd Bytes,0.0016188987632480031
Bwd IAT Max,0.0016036072763770512
Total Length of Fwd Packets,0.0015467389593252212
Bwd IAT Mean,0.001421077993113363
Idle Std,0.0013593397287000872
Bwd IAT Std,0.0013560157216672317
Flow IAT Min,0.0009867705429703706
Fwd IAT Min,0.0008256587192401553
Active Min,0.0004849473766160168
Active Max,0.00045322220479790436
Bwd IAT Min,0.0004229015610754906
Active Mean,0.0003788802581080966
Active Std,0.00034642900752721614
CWE Flag Count,4.824442506494623e-07
RST Flag Count,2.619037455941321e-07
ECE Flag Count,9.028900529837413e-08
Fwd URG Flags,0.0
Bwd PSH Flags,0.0
Bwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
